id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
695013206332384712,Home in Oakland · 2 bedrooms · 2 beds · 1 bath,67094305,Allie,,Longfellow,37.83304,-122.26945,Entire home/apt,187,7,0,,,1,358,0,
695173310864025601,Home in Oakland · ★4.78 · 4 bedrooms · 8 beds · 2.5 baths,307933687,Aloy,,Seminary,37.76642,-122.20098,Entire home/apt,528,1,9,2023-03-07,1.36,12,365,9,
695194701899908500,Rental unit in Oakland · ★4.83 · 2 bedrooms · 3 beds · 2 baths,53656544,Christine,,South Prescott,37.80533,-122.29863,Entire home/apt,122,7,6,2023-06-20,0.99,2,307,6,
695609318395616315,Guest suite in Berkeley · ★4.88 · 2 bedrooms · 3 beds · 1 bath,686438,Peter,,Claremont,37.86149,-122.23345,Entire home/apt,153,3,25,2023-06-18,2.91,1,268,25,
695674499751024435,Home in Oakland · ★3.95 · 3 bedrooms · 3 beds · 1 bath,475506328,Oscar,,Ralph Bunche,37.8128221,-122.2787028,Entire home/apt,114,2,19,2023-06-16,1.94,1,345,19,
696187358350578539,Place to stay in Oakland · 2 bedrooms · 3 beds · 2 baths,4005712,Kristen,,Upper Rockridge,37.83613296092788,-122.22362244535479,Entire home/apt,340,4,1,2023-05-15,0.73,3,166,1,
696351262770321867,Rental unit in Oakland · ★4.86 · 1 bedroom · 1 bed · 1 bath,208934643,Azania,,Mosswood,37.82916,-122.26606,Entire home/apt,194,3,7,2023-06-12,0.97,3,34,7,
698691296236136074,Condo in Oakland · 2 bedrooms · 2 beds · 2.5 baths,476121882,Al,,Prescott,37.81277,-122.3007,Entire home/apt,500,1,2,2022-10-16,0.22,1,365,2,
698789600349910623,Home in Oakland · ★4.75 · 2 bedrooms · 2 beds · 1 bath,13834542,Sam,,Bushrod,37.84889,-122.26625,Entire home/apt,184,2,12,2023-06-09,1.66,3,66,12,
698809521026441888,Home in Oakland · ★4.83 · 1 bedroom · 1 bed · 1 bath,13834542,Sam,,Bushrod,37.84878,-122.26826,Entire home/apt,162,2,23,2023-05-29,2.35,3,348,23,
699955304931055745,Home in Oakland · 1 bedroom · 3 beds · 1 private bath,450175138,Wen,,Fruitvale Station,37.77618,-122.22291,Private room,50,1,2,2023-03-19,0.21,1,161,2,
