id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39588237,Home in New Orleans · ★4.77 · 3 bedrooms · 4 beds · 2 baths,56279046,Ethan,,Dillard,29.99369,-90.05955,Entire home/apt,79,30,53,2022-07-04,1.27,2,124,4,"19STR-14209, 20-OSTR-19111"
40611713,Condo in New Orleans · 3 bedrooms · 3 beds · 2 baths,314702788,Hospitality NOLA,,French Quarter,29.9638,-90.06374,Entire home/apt,242,30,0,,,3,0,0,
40134225,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94487,-90.06543,Entire home/apt,233,2,3,2023-01-01,0.25,41,343,3,"19STR-16064, 19-OSTR-0000"
40134227,Condo in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.9467,-90.06545,Entire home/apt,233,2,24,2023-03-19,0.75,41,349,6,"19STR-16681, 19-OSTR-00330"
40633979,Condo in New Orleans · 1 bedroom · 2 beds · 1.5 baths,314702788,Hospitality NOLA,,French Quarter,29.965,-90.06332,Entire home/apt,187,30,0,,,3,0,0,
40134228,Condo in New Orleans · ★4.98 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94627,-90.06491,Entire home/apt,233,2,40,2023-03-16,1.01,41,339,17,"19STR-16673, 19-OSTR-00330"
40638571,Rental unit in New Orleans · ★4.97 · 1 bedroom · 1 bed · 1 bath,1750414,Angela,,Bywater,29.96488,-90.04667,Entire home/apt,190,4,36,2023-05-08,0.89,2,140,15,"20STR-00180, 20-OSTR-0179"
40134232,Rental unit in New Orleans · ★4.93 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94458,-90.06567,Entire home/apt,223,1,14,2023-03-21,0.46,41,357,6,"19STR-17026, 20-OSTR-00330"
40650823,Rental unit in New Orleans · ★4.47 · Studio · 2 beds · 1 bath,314943441,Elle,,Mid-City,29.96803,-90.08652,Entire home/apt,92,1,30,2023-03-22,0.73,2,87,9,"19STR-24792, 19OSTR-26283"
40134235,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94474,-90.06641,Entire home/apt,223,1,14,2023-05-22,0.42,41,361,4,"19STR-17145, 19-OSTR-00330"
